Restaurant_Name,Restaurant_description,Location,Restaurant_type,recommended_dishes,famous_Cuisines,Cost_per_person,allergy_food_product,menu_without_allergy,menu_with_allergy,reviews
Jalsa,"Jalsa is a fine north indian restaurant most suitable for casual dining which has a 4.1 rating and has gained 775 votes.Its an affordable place where 800 indian rupees in the approximte cost for two people. If you want to get more information on how jalsa can offer you, please contact on 080 42297555 
",India Banashankari,"Fine Dining, Family Gatherings, Celebrations","Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup,Gulab Jamun,Kheer,Jalebi,Kulfi","North Indian, Mughlai, Chinese",800 Indian Rupees,Cheese," Lunch Buffet, Masala Papad,Dum Biryani, Sweet Corn Soup","Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","Beautiful Mughal-themed Restaurant: The place has stunning Mughal-era interiors with perfect lighting. Despite limited Christmas offerings, the taste and service were excellent. The only complaint was about the quality of the bread.Great Food and Ambience: Although expensive, the place offers great food and a pleasant atmosphere. Service is top-notch. Rated everything 5 out of 5.The restaurant boasts stunning Mughal-era interiors and perfect lighting, offering excellent taste and service despite limited Christmas offerings, with only a minor complaint about the bread. Some diners praised the ambiance and food quality, while others noted issues with slow service and parking congestion."
Spice Elephant,"Spice Elepahant is a chicago restaurant in America that a rating of 4.8 and mainly focuses on  tourists from asian countries who are looking for spicy meals but also for american who are excited to enjoy spicy meals.Its an affordable place where 800 american dollars  in the approximte cost for two people. If you want to get more information on how spice elephant can offer you, please contact on +1080 42297555 ",Chicago America ,"Fine Dining, Family Gatherings, Celebrations,Tourist Visits","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Chinese, North Indian, Thai,American Spicy Special",800 Indian Rupees,Dairy,"Churros, Minestrone Soup, Pink Sauce Pasta, Salsa","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Salsa, Veg Supreme Pizza","""Spice Elephant offers a fiery culinary experience in the heart of Chicago, catering to both Asian tourists seeking authentic spice and adventurous Americans. The affordability is remarkable, with an approximate cost of $800 for two people, making it accessible to all. For those craving spice, this restaurant is a must-visit hotspot.""""While Spice Elephant aims to provide a spicy culinary adventure, the execution falls short for some patrons. Despite catering to Asian and American tastes, the flavors may not always hit the mark, leaving some diners underwhelmed. Additionally, while affordable, the approximate cost of $80 for two people may still be steep for budget-conscious diners."""
Royal Rasoi,"Royal Rasoi is a charming Indian restaurant located in the heart of Delhi, known for its regal ambiance and authentic cuisine. With a rating of 4.5 stars and over 1000 satisfied customers, it offers an affordable dining experience, with an approximate cost of 1000 Indian rupees for two people. For inquiries and reservations, please call 011-23456789.",India Delhi,"Fine Dining, Family Gatherings, Celebrations","Butter Chicken, Rogan Josh, Biryani, Tandoori Naan, Palak Paneer, Gulab Jamun, Mango Lassi","North Indian, Mughlai",1000 Indian Rupees,Nuts,"Butter Chicken, Rogan Josh, Biryani, Tandoori Naan,  Mango Lassi","Butter Chicken, Rogan Josh, Biryani, Tandoori Naan, Palak Paneer, Gulab Jamun, Mango Lassi","Exquisite Dining Experience: Royal Rasoi offers a truly regal ambiance combined with authentic Indian flavors. The dishes, including the Butter Chicken and Palak Paneer, are exceptional, and the service is impeccable. Highly recommended for anyone looking to experience the richness of Indian cuisine. A Gem in Delhi: From the moment you step in, you're transported to a world of elegance and taste. The menu offers a delightful array of dishes, and each bite is a celebration of flavor. The cost is reasonable considering the quality and experience. Definitely worth a visit for those seeking a memorable dining experience."
Mughal Palace,"""Step into Mughal Palace, a majestic restaurant nestled in the heart of Jaipur, offering a splendid blend of Mughlai and Rajasthani cuisines. With a stellar rating of 4.8 and over 2000 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1200 Indian rupees for two. For reservations and inquiries, please dial 0141-9876543.""","India, Jaipur","Fine Dining, Celebrations, Romantic Dinners","Laal Maas, Dal Makhani, Murgh Musallam, Ghewar, Kachori, Rabri","Mughlai, Rajasthani",1200 Indian Rupees,Gluten,"Laal Maas, Dal Makhani, Murgh Musallam, Rabri","Laal Maas, Dal Makhani, Murgh Musallam, Ghewar, Kachori, Rabri","Majestic Dining Experience: Mughal Palace truly lives up to its name, offering a grand dining ambiance reminiscent of the Mughal era. The flavors of Rajasthan and Mughlai cuisine are perfectly captured in dishes like Laal Maas and Murgh Musallam. A feast for the senses and a must-visit for anyone in Jaipur. Exquisite Delicacies: Indulge in the rich and authentic flavors of Rajasthan at Mughal Palace. From the aromatic Dal Makhani to the decadent Ghewar, every dish tells a story of tradition and excellence. The service is impeccable, and the ambiance is fit for royalty. Highly recommended for a memorable dining experience in Jaipur."
Taj Tandoor,"""Taj Tandoor is a culinary gem located in the bustling streets of Mumbai, known for its delectable tandoori dishes and warm hospitality. With a glowing rating of 4.7 and over 1500 satisfied customers, it offers a pocket-friendly dining experience, with an approximate cost of 900 Indian rupees for two people. For inquiries and reservations, please call 022-34567890.""","India, Mumbai","Casual Dining, Family Gatherings, Business Meetings","Tandoori Chicken, Butter Naan, Chicken Tikka Masala, Vegetable Biryani, Malai Kofta, Rasgulla",North Indian,900 Indian Rupees,Shellfish,"Butter Naan, Chicken Tikka Masala, Vegetable Biryani, Malai Kofta, Rasgulla","Tandoori Chicken, Butter Naan, Chicken Tikka Masala, Vegetable Biryani, Malai Kofta, Rasgulla","Culinary Excellence: Taj Tandoor offers an exceptional dining experience with its flavorful tandoori delicacies and attentive service. The Tandoori Chicken and Butter Naan are particularly delightful, bursting with authentic Indian flavors. A must-visit for anyone craving a taste of Mumbai's culinary heritage. Warm Hospitality: Step into Taj Tandoor and be greeted with warmth and hospitality that Mumbai is famous for. The menu features a variety of mouthwatering dishes, and each bite is a journey through the rich tapestry of Indian cuisine. With reasonable prices and top-notch quality, it's a favorite among locals and tourists alike."
Delhi Darbar,"""Delhi Darbar welcomes diners to savor the rich flavors of North Indian cuisine, nestled in the bustling streets of Delhi. With a stellar rating of 4.6 and over 1800 satisfied customers, it promises an unforgettable dining experience at an approximate cost of 1500 Indian rupees for two. For reservations and inquiries, please call 011-7654321.""","India, Delhi","Fine Dining, Family Gatherings, Celebrations","Butter Chicken, Rogan Josh, Paneer Tikka, Biryani, Naan, Gulab Jamun, Lassi","North Indian, Mughlai",1500 Indian Rupees,Dairy,"Rogan Josh, Paneer Tikka, Biryani, Naan","Butter Chicken, Rogan Josh, Paneer Tikka, Biryani, Naan, Gulab Jamun, Lassi","Exquisite Dining Experience: Delhi Darbar offers an exquisite dining experience with its flavorful North Indian cuisine and luxurious ambiance. The Butter Chicken and Rogan Josh are highlights, bursting with authentic flavors. The service is impeccable, making it a favorite among locals and tourists alike. A Culinary Haven: Step into Delhi Darbar and be greeted with warmth and hospitality that Delhi is famous for. The menu features a variety of mouthwatering dishes, and each bite is a journey through the rich tapestry of North Indian cuisine. With reasonable prices and top-notch quality, it's a favorite among food enthusiasts in Delhi."
Coastal Spice,"""Coastal Spice offers a tantalizing journey through the flavors of coastal India, located in the picturesque city of Kochi. With a glowing rating of 4.8 and over 2000 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1800 Indian rupees for two. For reservations and inquiries, please call 0484-8765432.""","India, Kochi","Fine Dining, Seafood Specialties, Romantic Dinners","Fish Curry, Prawn Masala, Karimeen Pollichathu, Appam, Idiyappam, Kerala Parotta, Toddy","South Indian, Kerala, Seafood",1800 Indian Rupees,Shellfish,"Appam, Idiyappam, Kerala Parotta, Toddy","Fish Curry, Prawn Masala, Karimeen Pollichathu, Appam, Idiyappam, Kerala Parotta, Toddy","Coastal Delights: Coastal Spice offers an exquisite dining experience, with its flavorful seafood dishes and serene ambiance. The Karimeen Pollichathu and Fish Curry are must-try specialties, while the Appam provides a perfect accompaniment. With warm hospitality and stunning views, this restaurant is a hidden gem in Kochi. A Taste of the Sea: Indulge in the fresh and vibrant flavors of coastal cuisine at Coastal Spice. From the succulent Prawn Masala to the crispy Kerala Parotta, each dish is a celebration of Kerala's culinary heritage. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Royal Rajputana,"""Royal Rajputana is a regal dining destination situated in the historic city of Udaipur. With a rating of 4.7 and over 1500 satisfied patrons, it offers an opulent dining experience at an approximate cost of 2000 Indian rupees for two. For reservations and inquiries, please call 0294-9876543.""","India, Udaipur","Fine Dining, Celebrations, Romantic Dinners","Laal Maas, Daal Baati Churma, Gatte ki Sabzi, Mirchi Bada, Kachori, Rajasthani Thali, Rabri","Rajasthani, North Indian",2000 Indian Rupees,Shellfish,"Daal Baati Churma, Gatte ki Sabzi, Mirchi Bada, Kachori, Rajasthani Thali, Rabri","Laal Maas, Daal Baati Churma, Gatte ki Sabzi, Mirchi Bada, Kachori, Rajasthani Thali, Rabri","Majestic Dining Experience: Royal Rajputana offers a majestic dining experience, with its regal ambiance and authentic Rajasthani flavors. The Laal Maas and Daal Baati Churma are highlights, while the Rajasthani Thali offers a taste of traditional cuisine. With impeccable service and luxurious surroundings, this restaurant is a crown jewel of Udaipur's dining scene. A Taste of Royalty: Step into Royal Rajputana and be transported to a world of royalty and indulgence. From the flavorful Gatte ki Sabzi to the decadent Rabri, every dish is fit for a king. The service is impeccable, making it a favorite among locals and tourists alike."
Ganga Sagar,"""Ganga Sagar offers a blissful escape into the world of vegetarian cuisine, situated in the spiritual city of Varanasi. With a stellar rating of 4.8 and over 2000 satisfied patrons, it promises a divine dining experience at an approximate cost of 800 Indian rupees for two. For reservations and inquiries, please call 0542-7654321.""","India, Varanasi","Casual Dining, Family Gatherings, Solo Dining","Aloo Tikki, Chole Bhature, Paneer Butter Masala, Pani Puri, Rajma Chawal, Jalebi, Thandai",North Indian,800 Indian Rupees,Dairy,"Aloo Tikki, Chole Bhature, Paneer Butter Masala, Jalebi, Thandai","Aloo Tikki, Chole Bhature, Paneer Butter Masala, Pani Puri, Rajma Chawal, Jalebi, Thandai","Vegetarian Delights: Ganga Sagar offers a delectable array of vegetarian dishes, with highlights like Aloo Tikki and Paneer Butter Masala stealing the show. The Chole Bhature is a crowd favorite, while the Jalebi provides a sweet ending to the meal. With a serene ambiance and warm hospitality, this restaurant is a must-visit for vegetarians in Varanasi. A Culinary Journey: Embark on a culinary journey through the flavors of North India at Ganga Sagar, where every dish is a tribute to the rich culinary heritage of the region. From the comforting Rajma Chawal to the crispy Pani Puri, each bite is a celebration of vegetarian cuisine. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Masala Magic,"""Masala Magic is a culinary gem nestled in the heart of Mumbai, offering a delightful blend of flavors from across India. With a stellar rating of 4.9 and over 2500 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1600 Indian rupees for two. For reservations and inquiries, please call 022-87654321.""","India, Mumbai","Fine Dining, Family Gatherings, Celebrations","Butter Garlic Naan, Chicken Tikka Masala, Mutton Biryani, Pav Bhaji, Vada Pav, Misal Pav, Kheer","North Indian, Maharashtrian",1600 Indian Rupees,"Gluten, Nuts"," Chicken Tikka Masala, Pav Bhaji, Vada Pav, Misal Pav","Butter Garlic Naan, Chicken Tikka Masala, Mutton Biryani, Pav Bhaji, Vada Pav, Misal Pav, Kheer","Culinary Delights: Masala Magic offers a delightful fusion of flavors, with its Butter Garlic Naan and Chicken Tikka Masala stealing the show. The Pav Bhaji and Vada Pav are street food classics, while the Kheer provides a sweet conclusion to the meal. With warm hospitality and impeccable service, this restaurant is a must-visit in Mumbai. A Taste of Mumbai: Masala Magic captures the essence of Mumbai's vibrant street food scene, offering a diverse array of flavors and aromas. From the spicy Misal Pav to the comforting Mutton Biryani, each dish is a celebration of Maharashtra's culinary heritage. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
